"n","kappa0","C_gamma","error_rate","power"
500,0.1,0.003,0,0
500,0.2,0.003,0,0
500,0.3,0.003,0,0
500,0.4,0.003,0,0
500,0.5,0.003,0,0
500,0.6,0.003,0,0
500,0.7,0.003,0,0
500,0.8,0.003,0,0
500,0.9,0.003,0,0
500,1,0.003,0,0
500,1.1,0.003,0,0
500,1.2,0.003,0,0
500,1.3,0.003,0,0
500,1.4,0.003,0,0
500,1.5,0.003,0,0
500,1.6,0.003,0,0
500,1.7,0.003,0,0
500,1.8,0.003,0,0
500,1.9,0.003,0,0
500,2,0.003,0,0
500,2.1,0.003,0,0
500,2.2,0.003,0,0
500,2.3,0.003,0,0
500,2.4,0.003,0,0
500,2.5,0.003,0,0
500,2.6,0.003,0,0
500,2.7,0.003,0,0
500,2.8,0.003,0,0
500,2.9,0.003,0,0
500,3,0.003,0,0
500,3.1,0.003,0,0
500,3.2,0.003,0,0
500,3.3,0.003,0,0
500,3.4,0.003,0,0
500,3.5,0.003,0,0
500,0.1,0.005,0,0
500,0.2,0.005,0,0
500,0.3,0.005,0,0
500,0.4,0.005,0,0
500,0.5,0.005,0,0
500,0.6,0.005,0,0
500,0.7,0.005,0,0
500,0.8,0.005,0,0
500,0.9,0.005,0,0
500,1,0.005,0,0
500,1.1,0.005,0,0
500,1.2,0.005,0,0
500,1.3,0.005,0,0
500,1.4,0.005,0,0
500,1.5,0.005,0,0.003
500,1.6,0.005,0,0.013
500,1.7,0.005,0,0.087
500,1.8,0.005,0,0.12
500,1.9,0.005,0,0.088
500,2,0.005,0,0.024
500,2.1,0.005,0,0.003
500,2.2,0.005,0,0
500,2.3,0.005,0,0
500,2.4,0.005,0,0
500,2.5,0.005,0,0
500,2.6,0.005,0,0
500,2.7,0.005,0,0
500,2.8,0.005,0,0
500,2.9,0.005,0,0
500,3,0.005,0,0
500,3.1,0.005,0,0
500,3.2,0.005,0,0
500,3.3,0.005,0,0
500,3.4,0.005,0,0
500,3.5,0.005,0,0
500,0.1,0.007,0.959,1
500,0.2,0.007,0.823,1
500,0.3,0.007,0.606,1
500,0.4,0.007,0.311,1
500,0.5,0.007,0.135,1
500,0.6,0.007,0.031,1
500,0.7,0.007,0.001,1
500,0.8,0.007,0,1
500,0.9,0.007,0,1
500,1,0.007,0,1
500,1.1,0.007,0,1
500,1.2,0.007,0,1
500,1.3,0.007,0,1
500,1.4,0.007,0,0.999
500,1.5,0.007,0,1
500,1.6,0.007,0,0.987
500,1.7,0.007,0,0.905
500,1.8,0.007,0,0.746
500,1.9,0.007,0,0.462
500,2,0.007,0,0.192
500,2.1,0.007,0,0.057
500,2.2,0.007,0,0.016
500,2.3,0.007,0,0
500,2.4,0.007,0,0.001
500,2.5,0.007,0,0
500,2.6,0.007,0,0
500,2.7,0.007,0,0
500,2.8,0.007,0,0
500,2.9,0.007,0,0
500,3,0.007,0,0
500,3.1,0.007,0,0
500,3.2,0.007,0,0
500,3.3,0.007,0,0
500,3.4,0.007,0,0
500,3.5,0.007,0,0
500,0.1,0.01,0.957,1
500,0.2,0.01,0.829,1
500,0.3,0.01,0.635,1
500,0.4,0.01,0.419,1
500,0.5,0.01,0.189,1
500,0.6,0.01,0.058,1
500,0.7,0.01,0.004,1
500,0.8,0.01,0,1
500,0.9,0.01,0,1
500,1,0.01,0,1
500,1.1,0.01,0,1
500,1.2,0.01,0,1
500,1.3,0.01,0,1
500,1.4,0.01,0,1
500,1.5,0.01,0,1
500,1.6,0.01,0,0.999
500,1.7,0.01,0,0.994
500,1.8,0.01,0,0.956
500,1.9,0.01,0,0.876
500,2,0.01,0,0.655
500,2.1,0.01,0,0.411
500,2.2,0.01,0,0.173
500,2.3,0.01,0,0.032
500,2.4,0.01,0,0.006
500,2.5,0.01,0,0
500,2.6,0.01,0,0
500,2.7,0.01,0,0
500,2.8,0.01,0,0
500,2.9,0.01,0,0
500,3,0.01,0,0
500,3.1,0.01,0,0
500,3.2,0.01,0,0
500,3.3,0.01,0,0
500,3.4,0.01,0,0
500,3.5,0.01,0,0
500,0.1,0.03,0.949,1
500,0.2,0.03,0.845,1
500,0.3,0.03,0.628,1
500,0.4,0.03,0.395,1
500,0.5,0.03,0.178,1
500,0.6,0.03,0.049,1
500,0.7,0.03,0.01,1
500,0.8,0.03,0.001,1
500,0.9,0.03,0,1
500,1,0.03,0,1
500,1.1,0.03,0,1
500,1.2,0.03,0,1
500,1.3,0.03,0,1
500,1.4,0.03,0,0.999
500,1.5,0.03,0,1
500,1.6,0.03,0,1
500,1.7,0.03,0,0.992
500,1.8,0.03,0,0.974
500,1.9,0.03,0,0.885
500,2,0.03,0,0.702
500,2.1,0.03,0,0.439
500,2.2,0.03,0,0.193
500,2.3,0.03,0,0.053
500,2.4,0.03,0,0.007
500,2.5,0.03,0,0.003
500,2.6,0.03,0,0
500,2.7,0.03,0,0
500,2.8,0.03,0,0
500,2.9,0.03,0,0
500,3,0.03,0,0
500,3.1,0.03,0,0
500,3.2,0.03,0,0
500,3.3,0.03,0,0
500,3.4,0.03,0,0
500,3.5,0.03,0,0
500,0.1,0.1,0.953,1
500,0.2,0.1,0.828,1
500,0.3,0.1,0.641,1
500,0.4,0.1,0.408,1
500,0.5,0.1,0.175,1
500,0.6,0.1,0.059,1
500,0.7,0.1,0.008,1
500,0.8,0.1,0,1
500,0.9,0.1,0,1
500,1,0.1,0,1
500,1.1,0.1,0,1
500,1.2,0.1,0,1
500,1.3,0.1,0,1
500,1.4,0.1,0,1
500,1.5,0.1,0,1
500,1.6,0.1,0,0.999
500,1.7,0.1,0,0.995
500,1.8,0.1,0,0.97
500,1.9,0.1,0,0.89
500,2,0.1,0,0.704
500,2.1,0.1,0,0.448
500,2.2,0.1,0,0.2
500,2.3,0.1,0,0.058
500,2.4,0.1,0,0.015
500,2.5,0.1,0,0.004
500,2.6,0.1,0,0.001
500,2.7,0.1,0,0
500,2.8,0.1,0,0
500,2.9,0.1,0,0
500,3,0.1,0,0
500,3.1,0.1,0,0
500,3.2,0.1,0,0
500,3.3,0.1,0,0
500,3.4,0.1,0,0
500,3.5,0.1,0,0
500,0.1,0.5,0.957,1
500,0.2,0.5,0.837,1
500,0.3,0.5,0.641,1
500,0.4,0.5,0.403,1
500,0.5,0.5,0.176,1
500,0.6,0.5,0.049,1
500,0.7,0.5,0.006,1
500,0.8,0.5,0.001,1
500,0.9,0.5,0,1
500,1,0.5,0,1
500,1.1,0.5,0,1
500,1.2,0.5,0,1
500,1.3,0.5,0,1
500,1.4,0.5,0,1
500,1.5,0.5,0,1
500,1.6,0.5,0,1
500,1.7,0.5,0,0.998
500,1.8,0.5,0,0.967
500,1.9,0.5,0,0.884
500,2,0.5,0,0.709
500,2.1,0.5,0,0.434
500,2.2,0.5,0,0.187
500,2.3,0.5,0,0.066
500,2.4,0.5,0,0.011
500,2.5,0.5,0,0.001
500,2.6,0.5,0,0
500,2.7,0.5,0,0
500,2.8,0.5,0,0
500,2.9,0.5,0,0
500,3,0.5,0,0
500,3.1,0.5,0,0
500,3.2,0.5,0,0
500,3.3,0.5,0,0
500,3.4,0.5,0,0
500,3.5,0.5,0,0
