"n","kappa0","C_gamma","error_rate","power"
500,0.1,0.003,0,0
500,0.2,0.003,0,0
500,0.3,0.003,0,0
500,0.4,0.003,0,0
500,0.5,0.003,0,0
500,0.6,0.003,0,0
500,0.7,0.003,0,0
500,0.8,0.003,0,0
500,0.9,0.003,0,0
500,1,0.003,0,0
500,1.1,0.003,0,0
500,1.2,0.003,0,0
500,1.3,0.003,0,0
500,1.4,0.003,0,0
500,1.5,0.003,0,0
500,1.6,0.003,0,0
500,1.7,0.003,0,0
500,1.8,0.003,0,0
500,1.9,0.003,0,0
500,2,0.003,0,0
500,2.1,0.003,0,0
500,2.2,0.003,0,0
500,2.3,0.003,0,0
500,2.4,0.003,0,0
500,2.5,0.003,0,0
500,2.6,0.003,0,0
500,2.7,0.003,0,0
500,2.8,0.003,0,0
500,2.9,0.003,0,0
500,3,0.003,0,0
500,0.1,0.005,0,0
500,0.2,0.005,0,0
500,0.3,0.005,0,0
500,0.4,0.005,0,0
500,0.5,0.005,0,0
500,0.6,0.005,0,0
500,0.7,0.005,0,0
500,0.8,0.005,0,0
500,0.9,0.005,0,0
500,1,0.005,0,0
500,1.1,0.005,0,0
500,1.2,0.005,0,0
500,1.3,0.005,0,0
500,1.4,0.005,0,0
500,1.5,0.005,0,0
500,1.6,0.005,0,0
500,1.7,0.005,0,0
500,1.8,0.005,0,0
500,1.9,0.005,0,0
500,2,0.005,0,0
500,2.1,0.005,0,0
500,2.2,0.005,0,0
500,2.3,0.005,0,0
500,2.4,0.005,0,0
500,2.5,0.005,0,0
500,2.6,0.005,0,0
500,2.7,0.005,0,0
500,2.8,0.005,0,0
500,2.9,0.005,0,0
500,3,0.005,0,0
500,0.1,0.007,0,0
500,0.2,0.007,0,0
500,0.3,0.007,0,0
500,0.4,0.007,0,0
500,0.5,0.007,0,0
500,0.6,0.007,0,0
500,0.7,0.007,0,0
500,0.8,0.007,0,0
500,0.9,0.007,0,0
500,1,0.007,0,0
500,1.1,0.007,0,0
500,1.2,0.007,0,0
500,1.3,0.007,0,0
500,1.4,0.007,0,0
500,1.5,0.007,0,0
500,1.6,0.007,0,0
500,1.7,0.007,0,0
500,1.8,0.007,0,0
500,1.9,0.007,0,0
500,2,0.007,0,0
500,2.1,0.007,0,0
500,2.2,0.007,0,0
500,2.3,0.007,0,0
500,2.4,0.007,0,0
500,2.5,0.007,0,0
500,2.6,0.007,0,0
500,2.7,0.007,0,0
500,2.8,0.007,0,0
500,2.9,0.007,0,0
500,3,0.007,0,0
500,0.1,0.008,1,1
500,0.2,0.008,1,1
500,0.3,0.008,1,1
500,0.4,0.008,1,1
500,0.5,0.008,1,1
500,0.6,0.008,1,1
500,0.7,0.008,1,1
500,0.8,0.008,0.985,1
500,0.9,0.008,0.253,1
500,1,0.008,0,1
500,1.1,0.008,0,1
500,1.2,0.008,0,1
500,1.3,0.008,0,1
500,1.4,0.008,0,1
500,1.5,0.008,0,1
500,1.6,0.008,0,1
500,1.7,0.008,0,1
500,1.8,0.008,0,0.974
500,1.9,0.008,0,0.713
500,2,0.008,0,0.204
500,2.1,0.008,0,0.016
500,2.2,0.008,0,0.001
500,2.3,0.008,0,0
500,2.4,0.008,0,0
500,2.5,0.008,0,0
500,2.6,0.008,0,0
500,2.7,0.008,0,0
500,2.8,0.008,0,0
500,2.9,0.008,0,0
500,3,0.008,0,0
500,0.1,0.009,1,1
500,0.2,0.009,1,1
500,0.3,0.009,1,1
500,0.4,0.009,1,1
500,0.5,0.009,1,1
500,0.6,0.009,1,1
500,0.7,0.009,1,1
500,0.8,0.009,0.986,1
500,0.9,0.009,0.261,1
500,1,0.009,0,1
500,1.1,0.009,0,1
500,1.2,0.009,0,1
500,1.3,0.009,0,1
500,1.4,0.009,0,1
500,1.5,0.009,0,1
500,1.6,0.009,0,1
500,1.7,0.009,0,1
500,1.8,0.009,0,0.973
500,1.9,0.009,0,0.725
500,2,0.009,0,0.213
500,2.1,0.009,0,0.01
500,2.2,0.009,0,0
500,2.3,0.009,0,0
500,2.4,0.009,0,0
500,2.5,0.009,0,0
500,2.6,0.009,0,0
500,2.7,0.009,0,0
500,2.8,0.009,0,0
500,2.9,0.009,0,0
500,3,0.009,0,0
500,0.1,0.01,1,1
500,0.2,0.01,1,1
500,0.3,0.01,1,1
500,0.4,0.01,1,1
500,0.5,0.01,1,1
500,0.6,0.01,1,1
500,0.7,0.01,1,1
500,0.8,0.01,0.983,1
500,0.9,0.01,0.265,1
500,1,0.01,0,1
500,1.1,0.01,0,1
500,1.2,0.01,0,1
500,1.3,0.01,0,1
500,1.4,0.01,0,1
500,1.5,0.01,0,1
500,1.6,0.01,0,1
500,1.7,0.01,0,1
500,1.8,0.01,0,0.977
500,1.9,0.01,0,0.745
500,2,0.01,0,0.22
500,2.1,0.01,0,0.017
500,2.2,0.01,0,0
500,2.3,0.01,0,0
500,2.4,0.01,0,0
500,2.5,0.01,0,0
500,2.6,0.01,0,0
500,2.7,0.01,0,0
500,2.8,0.01,0,0
500,2.9,0.01,0,0
500,3,0.01,0,0
500,0.1,0.03,1,1
500,0.2,0.03,1,1
500,0.3,0.03,1,1
500,0.4,0.03,1,1
500,0.5,0.03,1,1
500,0.6,0.03,1,1
500,0.7,0.03,1,1
500,0.8,0.03,0.991,1
500,0.9,0.03,0.362,1
500,1,0.03,0,1
500,1.1,0.03,0,1
500,1.2,0.03,0,1
500,1.3,0.03,0,1
500,1.4,0.03,0,1
500,1.5,0.03,0,1
500,1.6,0.03,0,1
500,1.7,0.03,0,1
500,1.8,0.03,0,0.98
500,1.9,0.03,0,0.751
500,2,0.03,0,0.208
500,2.1,0.03,0,0.022
500,2.2,0.03,0,0
500,2.3,0.03,0,0
500,2.4,0.03,0,0
500,2.5,0.03,0,0
500,2.6,0.03,0,0
500,2.7,0.03,0,0
500,2.8,0.03,0,0
500,2.9,0.03,0,0
500,3,0.03,0,0
500,0.1,0.05,1,1
500,0.2,0.05,1,1
500,0.3,0.05,1,1
500,0.4,0.05,1,1
500,0.5,0.05,1,1
500,0.6,0.05,1,1
500,0.7,0.05,1,1
500,0.8,0.05,0.995,1
500,0.9,0.05,0.406,1
500,1,0.05,0,1
500,1.1,0.05,0,1
500,1.2,0.05,0,1
500,1.3,0.05,0,1
500,1.4,0.05,0,1
500,1.5,0.05,0,1
500,1.6,0.05,0,1
500,1.7,0.05,0,1
500,1.8,0.05,0,0.98
500,1.9,0.05,0,0.759
500,2,0.05,0,0.244
500,2.1,0.05,0,0.019
500,2.2,0.05,0,0
500,2.3,0.05,0,0
500,2.4,0.05,0,0
500,2.5,0.05,0,0
500,2.6,0.05,0,0
500,2.7,0.05,0,0
500,2.8,0.05,0,0
500,2.9,0.05,0,0
500,3,0.05,0,0
500,0.1,0.1,1,1
500,0.2,0.1,1,1
500,0.3,0.1,1,1
500,0.4,0.1,1,1
500,0.5,0.1,1,1
500,0.6,0.1,1,1
500,0.7,0.1,1,1
500,0.8,0.1,0.995,1
500,0.9,0.1,0.42,1
500,1,0.1,0,1
500,1.1,0.1,0,1
500,1.2,0.1,0,1
500,1.3,0.1,0,1
500,1.4,0.1,0,1
500,1.5,0.1,0,1
500,1.6,0.1,0,1
500,1.7,0.1,0,1
500,1.8,0.1,0,0.981
500,1.9,0.1,0,0.751
500,2,0.1,0,0.271
500,2.1,0.1,0,0.028
500,2.2,0.1,0,0.002
500,2.3,0.1,0,0
500,2.4,0.1,0,0
500,2.5,0.1,0,0
500,2.6,0.1,0,0
500,2.7,0.1,0,0
500,2.8,0.1,0,0
